                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6538,                 4.3544,                  1.578,                0.00333,                      1,                0.01253,                0.00346,                      0,                    inf,                      0,                    0.1,                      0,                      0
                      1,                 2.7262,                 4.5724,                  2.457,                0.00167,                    0.5,                0.01074,                0.00351,                      0,                    inf,                      0,               0.099098,              9.802e-05,              9.802e-05
                      2,                 2.1882,                 4.2316,                 1.8675,                0.00167,                    0.5,                 0.0138,                0.00442,                      0,                    inf,                      0,               0.098192,             0.00019208,             0.00019208
                      3,                 1.8809,                 4.1507,                 1.5998,                0.00167,                    0.5,                0.02792,                0.00852,                      0,                    inf,                      0,               0.097282,             0.00028218,             0.00028218
                      4,                 1.6619,                 4.1589,                 1.4249,                0.00167,                    0.5,                0.02648,                 0.0081,                      0,                    inf,                      0,               0.096368,             0.00036832,             0.00036832
                      5,                 2.1682,                 4.0704,                 1.6678,                0.00167,                    0.5,                0.02022,                0.00635,                      0,                    inf,                      0,               0.095451,              0.0004505,              0.0004505
                      6,                 1.7133,                 4.6416,                 1.9983,                0.00167,                    0.5,                0.01876,                0.00592,                      0,                    inf,                      0,               0.094529,             0.00052872,             0.00052872
                      7,                 1.8129,                 4.3131,                 1.8097,                0.00333,                      1,                0.02311,                0.00747,                      0,                    inf,                      0,               0.093603,             0.00060298,             0.00060298
                      8,                  1.065,                 3.5441,                 1.2775,                0.00333,                      1,                0.04148,                0.00925,                      0,                    inf,                      0,               0.092673,             0.00067328,             0.00067328
                      9,                 1.8526,                 3.4667,                 1.4753,                0.00333,                      1,                0.03949,                0.01139,                      0,                    inf,                      0,                0.09174,             0.00073962,             0.00073962
                     10,                 1.8002,                 3.6355,                 1.4585,                0.00333,                      1,                0.08707,                  0.026,                      0,                    inf,                      0,               0.090802,               0.000802,               0.000802
                     11,                 1.5142,                   3.53,                 1.1821,                0.00333,                      1,                0.16944,                0.03462,                      0,                    inf,                      0,                0.08986,             0.00086042,             0.00086042
                     12,                 1.1517,                 3.4165,                 1.1729,                0.00333,                      1,                0.17024,                0.03649,                      0,                    inf,                      0,               0.088915,             0.00091488,             0.00091488
                     13,                 1.1077,                 3.4714,                 1.1611,                0.00333,                      1,                0.25282,                0.05248,                      0,                    inf,                      0,               0.087965,             0.00096538,             0.00096538
                     14,                 1.2469,                 3.2178,                 1.1353,                0.00333,                      1,                0.51881,                0.10569,                      0,                    inf,                      0,               0.087012,              0.0010119,              0.0010119
                     15,                 0.7269,                 3.5831,                  1.038,                0.00333,                      1,                0.82833,                0.13526,                      0,                    inf,                      0,               0.086055,              0.0010545,              0.0010545
                     16,                 1.0367,                 3.0859,                 1.0422,                0.00333,                      1,                 0.4975,                0.12698,                      0,                    inf,                      0,               0.085093,              0.0010931,              0.0010931
                     17,                0.80647,                 3.2145,                0.95593,                0.00333,                      1,                 0.4975,                0.12698,                      0,                    inf,                      0,               0.084128,              0.0011278,              0.0011278
                     18,                0.84624,                 3.0169,                0.94543,                0.00333,                      1,                 0.4975,                0.12595,                      0,                    inf,                      0,               0.083158,              0.0011585,              0.0011585
                     19,                 0.7149,                 3.0893,                0.72471,                0.00333,                      1,                 0.4975,                0.12595,                      0,                    inf,                      0,               0.082185,              0.0011852,              0.0011852
                     20,                0.76263,                 3.1527,                0.94819,                0.00333,                      1,                 0.4975,                0.15014,                      0,                    inf,                      0,               0.081208,               0.001208,               0.001208
                     21,                 1.0508,                 3.1793,                 1.1581,                0.00333,                      1,                 0.4975,                0.15014,                      0,                    inf,                      0,               0.080227,              0.0012268,              0.0012268
                     22,                0.81358,                 3.1538,                0.93522,                0.00333,                      1,                 0.4975,                0.16217,                      0,                    inf,                      0,               0.079242,              0.0012417,              0.0012417
                     23,                0.72351,                 2.7428,                0.94993,                0.00333,                      1,                 0.4975,                0.16217,                      0,                    inf,                      0,               0.078253,              0.0012526,              0.0012526
                     24,                0.56569,                 3.0246,                0.97132,                0.00333,                      1,                  0.995,                0.26565,                      0,                    inf,                      0,                0.07726,              0.0012595,              0.0012595
                     25,                0.90074,                 2.7675,                  0.928,                0.00333,                      1,                  0.995,                0.26565,                      0,                    inf,                      0,               0.076263,              0.0012625,              0.0012625
                     26,                0.78186,                 2.7329,                 0.8432,                0.00333,                      1,                0.82833,                0.29071,                      0,                    inf,                      0,               0.075262,              0.0012615,              0.0012615
                     27,                0.52899,                 2.5739,                0.89407,                0.00333,                      1,                0.82833,                0.29071,                      0,                    inf,                      0,               0.074257,              0.0012566,              0.0012566
                     28,                0.59129,                 3.0237,                0.83295,                0.00333,                      1,                0.82833,                0.30702,                      0,                    inf,                      0,               0.073248,              0.0012477,              0.0012477
                     29,                0.67884,                 2.6535,                0.89173,                0.00333,                      1,                0.82833,                0.30702,                      0,                    inf,                      0,               0.072235,              0.0012348,              0.0012348
