                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.51814,                  1.237,                0.90429,                      1,                0.96048,                  0.995,                0.25903,                      0,                    inf,                      0,                    0.1,                      0,                      0
                      1,                0.49142,                 1.1445,                0.82871,                      1,                0.96095,                  0.995,                0.25961,                      0,                    inf,                      0,               0.099098,              9.802e-05,              9.802e-05
                      2,                0.86821,                  1.056,                0.94191,                      1,                  0.962,                  0.995,                0.25903,                      0,                    inf,                      0,               0.098192,             0.00019208,             0.00019208
                      3,                 0.6419,                0.99721,                0.85967,                      1,                 0.9615,                  0.995,                0.25903,                      0,                    inf,                      0,               0.097282,             0.00028218,             0.00028218
                      4,                0.85409,                 1.1103,                0.95813,                      1,                0.96415,                  0.995,                0.26026,                      0,                    inf,                      0,               0.096368,             0.00036832,             0.00036832
                      5,                0.83052,                0.89597,                0.86605,                      1,                0.96678,                  0.995,                0.23447,                      0,                    inf,                      0,               0.095451,              0.0004505,              0.0004505
                      6,                0.58281,                0.87076,                0.84104,                      1,                0.96855,                  0.995,                0.30758,                      0,                    inf,                      0,               0.094529,             0.00052872,             0.00052872
                      7,                0.62075,                 1.0158,                0.86444,                      1,                 0.9707,                  0.995,                0.30758,                      0,                    inf,                      0,               0.093603,             0.00060298,             0.00060298
                      8,                0.29163,                0.88505,                0.80192,                      1,                0.97127,                  0.995,                0.24922,                      0,                    inf,                      0,               0.092673,             0.00067328,             0.00067328
                      9,                0.43778,                 1.0107,                0.85084,                      1,                0.97295,                  0.995,                0.25228,                      0,                    inf,                      0,                0.09174,             0.00073962,             0.00073962
                     10,                0.49693,                0.74277,                0.88222,                      1,                0.97309,                  0.995,                0.26946,                      0,                    inf,                      0,               0.090802,               0.000802,               0.000802
                     11,                0.60831,                0.78977,                0.84868,                      1,                 0.9751,                  0.995,                0.27169,                      0,                    inf,                      0,                0.08986,             0.00086042,             0.00086042
                     12,                0.42467,                0.92055,                0.91014,                      1,                0.97625,                  0.995,                 0.2985,                      0,                    inf,                      0,               0.088915,             0.00091488,             0.00091488
                     13,                0.49836,                0.91251,                0.95632,                      1,                0.97743,                  0.995,                0.26476,                      0,                    inf,                      0,               0.087965,             0.00096538,             0.00096538
                     14,                0.56838,                 1.0159,                 0.8078,                      1,                0.96812,                  0.995,                0.31535,                      0,                    inf,                      0,               0.087012,              0.0010119,              0.0010119
                     15,                0.41604,                0.88116,                0.86434,                      1,                0.97338,                  0.995,                0.28633,                      0,                    inf,                      0,               0.086055,              0.0010545,              0.0010545
                     16,                0.55541,                0.80846,                0.85876,                      1,                0.97641,                  0.995,                0.28188,                      0,                    inf,                      0,               0.085093,              0.0010931,              0.0010931
                     17,                0.55558,                0.93384,                0.83639,                      1,                0.97641,                  0.995,                0.28188,                      0,                    inf,                      0,               0.084128,              0.0011278,              0.0011278
                     18,                0.64202,                0.74159,                0.76279,                      1,                  0.976,                  0.995,                 0.2565,                      0,                    inf,                      0,               0.083158,              0.0011585,              0.0011585
                     19,                 0.5348,                 1.0829,                0.97886,                      1,                  0.976,                  0.995,                 0.2565,                      0,                    inf,                      0,               0.082185,              0.0011852,              0.0011852
                     20,                0.61619,                 0.7553,                0.81904,                      1,                0.97557,                  0.995,                0.25658,                      0,                    inf,                      0,               0.081208,               0.001208,               0.001208
